date,review,cleaned_review
il y a une semaine,"Très proche du vieux port, 'propre
Vue de la salle du haut très agréable.",tres proche du vieux port propre vue de la salle du haut tres agreable
il y a 3 semaines,"Tout est incroyable je recommande vraiment, c’est vraiment agréable, un accueil chaleureux et le service est super agréable",tout est incroyable je recommande vraiment cest vraiment agreable un accueil chaleureux et le service est super agreable
il y a 5 mois,"Personnel accueillant, ils viennent vers vous pour savoir si tout va bien, nettoie régulièrement. Très bon Sens du service client",personnel accueillant ils viennent vers vous pour savoir si tout va bien nettoie regulierement tres bon sens du service client
il y a 2 mois,Service très rapide et accueil chaleureux avec le sourie par maguema on se sent chez soit,service tres rapide et accueil chaleureux avec le sourie par maguema on se sent chez soit
il y a un mois,"Personnel très gentil surtout rachel qui nous accueilli meme trouvé une place tres
rapide le service …",personnel tres gentil surtout rachel qui nous accueilli meme trouve une place tres rapide le service
il y a 5 mois,"Leur montagnard rosti
Miam miam
Et le lieu est sympa
Belle vue depuis l'étage",leur montagnard rosti miam miam et le lieu est sympa belle vue depuis letage
il y a 3 mois,Personnel très sympa . Je viens de manger avec ma famille et on s est régale un sandwich nous a calle . Je recommande vivement .,personnel tres sympa je viens de manger avec ma famille et on s est regale un sandwich nous a calle je recommande vivement
il y a un mois,"Maguema est une personne attentionnée, à l écoute, je la remercie pour son professionnalisme et son sourire",maguema est une personne attentionnee a l ecoute je la remercie pour son professionnalisme et son sourire
il y a un mois,"Déjeuner tres bon et Personne très agréable environnement chaleureux

Et merci à tata mag pour son sourir et ca joie de vivre",dejeuner tres bon et personne tres agreable environnement chaleureux et merci a tata mag pour son sourir et ca joie de vivre
il y a 2 mois,"Le pire burger que j'ai jamais mangé de ma vie. L'endroit sale. Le hamburger était incroyablement petit, n'importe quel autre endroit dans la rue est préférable. Voleurs.",le pire burger que jai jamais mange de ma vie lendroit sale le hamburger etait incroyablement petit nimporte quel autre endroit dans la rue est preferable voleurs
il y a un mois,"Maguema
Une personne très agréable exceptionnelle gentille professionnelle une vraie personne comme nous aimons qui n'existe plus.",maguema une personne tres agreable exceptionnelle gentille professionnelle une vraie personne comme nous aimons qui nexiste plus
il y a un an,Des cafard ce promene dans l'établissement l'hygiène de ce restaurant reste vraiment à désiré fuyez cette établissement des soûlard et des voleur à la recherche d'une pièce ou d'un téléphone portable ps une pauvre dame c'est fait voler sont …,des cafard ce promene dans letablissement lhygiene de ce restaurant reste vraiment a desire fuyez cette etablissement des soulard et des voleur a la recherche dune piece ou dun telephone portable ps une pauvre dame cest fait voler sont
il y a 2 semaines,Tata Mag  meilleur réceptionniste vrmmm super sympathique je reviendrai rien que pour son accueil très agréable merci,tata mag meilleur receptionniste vrmmm super sympathique je reviendrai rien que pour son accueil tres agreable merci
il y a une semaine,très convivial super accueil de tata Mag,tres convivial super accueil de tata mag
il y a 2 semaines,"Bon service, j'ai apprécié.
Tata Mag est trop cool 😅😅😅 …",bon service jai apprecie tata mag est trop cool
