date,review,cleaned_review
12/2023,Fast food qui dpanne toujours quand on a faim  nimporte quelle heure. La terrasse est plus avenante et moins sale que par le pass. Les bornes ne fonctionnent toujours pas toutes. Dommage. Lintrieur fait toujours aussi sale ainsi que le WC. Il y a encore un peu de progrs  faire. Le service est ok et plutt rapide.,fast food qui dpanne toujours quand on a faim nimporte quelle heure la terrasse est plus avenante et moins sale que par le pass les bornes ne fonctionnent toujours pas toutes dommage lintrieur fait toujours aussi sale ainsi que le wc il y a encore un peu de progrs faire le service est ok et plutt rapide
04/2024,"jai command en click and collect, au bout de 1h30 toujours pas servie, alors quil ny avait pas tant de monde que a et quand je suis all demand si ma commande arrivait bientt, on ma juste dit dattendre encore.",jai command en click and collect au bout de h toujours pas servie alors quil ny avait pas tant de monde que a et quand je suis all demand si ma commande arrivait bientt on ma juste dit dattendre encore
11/2023,"Cest Burger King est vraiment diffrent des autres, si vous commander sur place ne vous installer pas tout de suite, malheureusement ce Burger King ne fait pas de service directement  table ce qui est trs dommage. Les deux femmes",cest burger king est vraiment diffrent des autres si vous commander sur place ne vous installer pas tout de suite malheureusement ce burger king ne fait pas de service directement table ce qui est trs dommage les deux femmes
04/2024,"Tu commandes sur leur appli, les livreurs marquent comme quoi cest livr, mais toi tu reois pas ta bouffe. Superlivreur  voleur",tu commandes sur leur appli les livreurs marquent comme quoi cest livr mais toi tu reois pas ta bouffe superlivreur voleur
03/2024,"Le pire burgee king de ma vie !Repas froid, 23min d attente, dsorganis, dsagrable, bref.Je n y remettrai jamais les pieds.",le pire burgee king de ma vie repas froid min d attente dsorganis dsagrable brefje n y remettrai jamais les pieds
06/2024,"Je pense que la photo parle delle mme. Rajoutons le service client inexistant  jattends le remboursement dune commande depuis 2 mois sans aucune rponse du restaurant. Des erreurs en permanence, et des temps dattentes exceptionnellement long.",je pense que la photo parle delle mme rajoutons le service client inexistant jattends le remboursement dune commande depuis mois sans aucune rponse du restaurant des erreurs en permanence et des temps dattentes exceptionnellement long
06/2024,"Servi trs vite, bon service",servi trs vite bon service
12/2023,"Temp dattente plutt long, privilgiez celui de Vnissieux qui nest pas bien plus loin avec le priphrique, si vous tes press.Cependant, la qualit du fast food par rapport  ces conurent est toujours bien prsente.",temp dattente plutt long privilgiez celui de vnissieux qui nest pas bien plus loin avec le priphrique si vous tes presscependant la qualit du fast food par rapport ces conurent est toujours bien prsente
03/2024,Vraiment trop de monde nous avons mang  ct de la porte dentre et cest vraiment pas top. La salle est trs petite,vraiment trop de monde nous avons mang ct de la porte dentre et cest vraiment pas top la salle est trs petite
04/2024,Un grand merci  Malik le manager et toute son quipe pour son accueil et sa bienveillance. quipe au top,un grand merci malik le manager et toute son quipe pour son accueil et sa bienveillance quipe au top
05/2024,Trs bon accueil de la part de Malik trs pro service rapide je recommande vivement,trs bon accueil de la part de malik trs pro service rapide je recommande vivement
01/2024,Cela fait 2 fois que nous commander en livraison et nous attendons 1h30 avant de la recevoir cest inadmissible ! Nous avons appeler les livreur  chaque fois pour leur demander et ils nous rpondent quils sont bien au bk mais que la commande nest toujours pas prte !,cela fait fois que nous commander en livraison et nous attendons h avant de la recevoir cest inadmissible nous avons appeler les livreur chaque fois pour leur demander et ils nous rpondent quils sont bien au bk mais que la commande nest toujours pas prte
06/2024,Le restaurant est bond une grande partie du temps et lattente est assez importante. Pour autant les commandes sont assez rapides et  il ne manque rien. Les employs sont rapides mais la charhe de travail norme et lam iance super bruyante !,le restaurant est bond une grande partie du temps et lattente est assez importante pour autant les commandes sont assez rapides et il ne manque rien les employs sont rapides mais la charhe de travail norme et lam iance super bruyante
01/2024,"je suis alle manger au burger king cette semaine, jai t trs agrablement servie et accueillie par lnala meilleure serveuse de la chane, dvoue et passionne, elle merite une prime.",je suis alle manger au burger king cette semaine jai t trs agrablement servie et accueillie par lnala meilleure serveuse de la chane dvoue et passionne elle merite une prime
05/2024,"Le service est nickel et un trs bon accueil de la part de Malik, allez l bas !",le service est nickel et un trs bon accueil de la part de malik allez l bas
05/2024,"Super employs, servi en 5minutes parfait pour prendre le train aprs.Merci !",super employs servi en minutes parfait pour prendre le train aprsmerci
11/2023,"Jai pass ma commande  14h32 et, aprs 25 minutes dattente, il ny avait toujours aucun mouvement. Vers 15h, jai pos poliment une question au guichet concernant ma commande. La serveuse a rapidement prpar ce qui restait en stock,",jai pass ma commande h et aprs minutes dattente il ny avait toujours aucun mouvement vers h jai pos poliment une question au guichet concernant ma commande la serveuse a rapidement prpar ce qui restait en stock
