date,review
il y a 4 semaines,Nous avons été très bien accueilli par Sarah. L’ambiance est très agréable
il y a un mois,Tophummm BugerKing !j’ai pris un double wooper pour commencer top Encore plus top si il y avait des bulles dans le coca (merci pour le cookie)
il y a 4 jours,"Très bon Burger King
J’ai kiffé de fou"
il y a 3 semaines,"Personnel, accueillant, service rapide et bonne hygiène
Je recommande"
il y a 2 mois,Parfait. Service de qualité et tres efficace. Je recommande fortement. Bien mieux que macdonald. Produit frais
il y a un mois,"Génial, le service est rapide et les plats bien chaud"
il y a un mois,"Restaurant super sympa, belle déco,le service rapide et le personnels professionnels. Je recommande"
il y a 3 semaines,Très bon spot pour manger pas cher ! Excellent personnel
il y a 4 mois,"Super expérience dans ce Burger King ! Merci à Solène pour son accueil, ses recommandations et sa gentillesse !! Je reviendrai définitivement :))"
il y a un mois,"L’équipier Darel est très serviable. Bon Lieu, service rapide."
il y a un mois,"Rapidité au top ,
Je vous conseille de venir .
Excellent"
il y a 4 mois,"La playlist interne est grave bien, le service est cool et le personnel super sympa ! La nourriture est correcte ! Moment convivial assurée :)"
il y a une semaine,Le double steakhouse est incroyablement bon et chaud j’adore.
il y a 7 mois,"Le meilleur burger king du monde , Sarah élue meilleure serveuse , gentillesse absolue et incroyable, le burger préparé par Sarah est absolument exquis."
il y a 2 semaines,C'était bon gros big up à darel super restèrent
il y a 22 heures,Trop cool
il y a 4 semaines,J’ai passé une très bon moment. Le personnel est accueillant et le service rapide. Je recommande !
il y a 2 semaines,Trés bon service client. Merci a Darel!
il y a un mois,Meilleur fast food au monde c'est trop bon même leur poulet il est magnifique même la serveuse !!!!!
il y a 4 mois,"Très bonne cuisine, il y a un four à micro onde mis à disposition ce qui est très pratique pour les étudiants et le personnel est très sympathique ."
il y a 3 semaines,Franchement la nourriture était incroyablement bon et les accueille était incroyable merci à vous 🫵🏾❤️ …
il y a 3 mois,"Franchement très bon petit repas et rapide, c'était agréable, venez tous miam un délice mmdrr"
il y a 2 semaines,Le restaurant est agréable et la nourriture est délicieuse.
il y a un mois,génial c'est super proche de la BnF parfait pour un petit snack entre deux chapitres !
il y a 3 mois,Très bon moment familiale.
il y a 2 mois,"L’accueil était bien, le personnel était chaleureux, je recommande."
il y a 2 semaines,Serveuse très gentille qui se prénomme Sarah on vous recommande
il y a 4 semaines,Service très rapide staff gentil je recommande beaucoup !!
il y a 2 mois,Une cata une fois arrivé à la maison il manque le burger de mon menu !  le coca n'avait absolument aucun goût bref qualité bien en.baosse depuis l'ouverture
il y a 4 mois,Solène est très gentille et accueillante et j'ai eu la chance d'avoir une bonne dose de Nutella dans mon king fusion.
il y a un mois,Service très rapide malgré du monde et très bon. Les quantités sont satisfaisantes pour le prix !!
il y a un mois,Beaucoup de réductions et bon prix proposés et des services très rapides et satisfaisant !
il y a 7 mois,"Repas servi  froid  restaurant sale
Table sale
Sol sale …"
il y a un mois,J'ai beaucoup aimé l'expérience dans un cadre tranquille à l'écart du bruit de la ville !
il y a 3 semaines,"La salle est propre, les serveurs sont efficaces et polis et la cuisine est bonne"
il y a 3 mois,"Nous avons été servis pas la merveille équipière Solene, un rayon de soleil encore merci pour cette merveilleuse expérience !!!"
il y a 9 mois,"Après avoir commandé sur la borne, je suis parti aux toilettes du Burger King, celle de droite. En tirant la chasse d'eau, mon doigt est resté bloquer dans le trou et ma râpé tout mon doigt! HONTEUX ET IDNAMISSIBLE!"
il y a 6 ans,"Contrairement à ce que peux laisser penser la majorité des avis, ce Burger King mérite largement les 5 étoiles : les burgers sont de bonnes qualités, la viande cuite à point, le service y est rapide hors heures de pointes, et le restaurant …"
il y a un mois,"je viens souvent a ce bk, le personnel est tres gentil et efficace!"
il y a 2 mois,"Très bonne accueil, service rapide je recommande"
il y a 2 semaines,Un personnel très sympathique en particulier Darel
il y a 3 mois,"Service très rapide, dommage qu’il n’y ait pas beaucoup de places"
